<--서울특별시 공사현황 주소-->
"서울특별시 동대문구 장안동 364-3 364-3, 364-4"
서울특별시 금천구 가산동 327-30
서울특별시 금천구 가산동 139-12
서울특별시 중랑구 중화동 331-6
서울특별시 중랑구 중화동 331-6
서울특별시 구로구 오류동 31-280 1필지
서울특별시 중구 을지로4가 310-2 일원
서울특별시 강동구 고덕동 353-23
서울특별시 동대문구 용두동 11-1
서울특별시 송파구 방이동 42 외 5필지
서울특별시 중랑구 묵동 165
서울특별시 노원구 공릉동 375-4
서울특별시 은평구 응암동 8
서울특별시 강남구 논현동 106번지 외 3필지
서울특별시 강동구 강일동 72
서울특별시 종로구 계동 140-2
서울특별시 강동구 강일동 72번지 일원
"서울특별시 송파구 오금동 67-7 외 2필지 (67,67-9)"
서울특별시 강동구 명일동 47 55
서울특별시 송파구 방이동 46-6
서울특별시 강서구 등촌동 82-1 71 관리사무소외
서울특별시 강서구 오쇠동 14-2
서울특별시 강서구 오쇠동 14-2
서울특별시 광진구 자양동 680-63
서울특별시 강남구 청담동 106-7 외 6필지
서울특별시 동작구 노량진동 294-220
서울특별시 동작구 노량진동 294-220
서울특별시 동작구 대방동 13-31
서울특별시 성동구 성수동1가 685-700
서울특별시 광진구 화양동 116-1 외 16필지
서울특별시 강동구 강일동 482 서울특별시 강동구 강일동 482 일원
서울특별시 송파구 문정동 136
서울특별시 강남구 역삼동 705-22
서울특별시 강서구 화곡동 3707-76
서울특별시 서초구 서초동 1339-4
서울특별시 강북구 미아동 1353 SK북한산시티아파트
서울특별시 성북구 하월곡동 88-222
서울특별시 서대문구 홍은동 217-27 외
서울특별시 중랑구 망우동 269
서울특별시 용산구 한남동 730 한남타워
서울특별시 은평구 불광동 302-13 외 1필지
서울특별시 송파구 방이동 49-15
서울특별시 용산구 한남동 736-9
서울특별시 구로구 구로동 642-105
서울특별시 강동구 둔촌동 85-2
서울특별시 강동구 둔촌동 170-1
서울특별시 강동구 둔촌동 30-4 둔촌현대1차아파트
서울특별시 마포구 동교동 162-4
서울특별시 영등포구 여의도동 31
서울특별시 성동구 성수동2가 284-124
서울특별시 강남구 논현동 242-52
서울특별시 송파구 방이동 50-3
서울특별시 강남구 논현동 242-31 242-32
서울특별시 영등포구 여의도동 27-2
서울특별시 구로구 온수동 45-31 일원
서울특별시 강동구 길동 160
"서울특별시 강동구 길동 160 길동,신동아"
서울특별시 성북구 길음동 542-1
서울특별시 구로구 개봉동 312-38
서울특별시 구로구 개봉동 369-1
서울특별시 구로구 개봉동 369-1
서울특별시 성북구 종암동 12-23
서울특별시 노원구 월계동 320-11 2층
서울특별시 노원구 중계동 368-7
서울특별시 성동구 행당동 192-40
"서울특별시 노원구 중계동 160-3 우리빌딩 6층, 602호 코오롱글로벌"
서울특별시 중구 황학동 1073
서울특별시 중랑구 상봉동 89
서울특별시 송파구 거여동 292 거여3단지 외
서울특별시 종로구 예지동 85
서울특별시 성북구 정릉동 168-26
서울특별시 송파구 문정동 635 (포함한 송파구 일대)
